Subzone,Planning Area,Population,Population_Males,Population_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females
ADMIRALTY,Sembawang,13920.0,6860.0,7060.0,9780,4830,4950,2250,1090,1160,1350,680,670,550,270,280
AIRPORT ROAD,Paya Lebar,,,,-,-,-,-,-,-,-,-,-,-,-,-
ALEXANDRA HILL,Bukit Merah,13490.0,6630.0,6860.0,9850,4770,5080,1950,1000,950,1410,740,670,280,120,160
ALEXANDRA NORTH,Bukit Merah,2630.0,1230.0,1400.0,2200,1010,1190,20,10,10,230,110,120,180,100,80
ALJUNIED,Geylang,39990.0,19740.0,20250.0,33870,16680,17190,2300,1140,1160,2330,1230,1100,1500,690,810
ANAK BUKIT,Bukit Timah,21870.0,10370.0,11500.0,19930,9400,10530,210,90,120,880,430,450,850,440,410
ANCHORVALE,Sengkang,48120.0,23700.0,24420.0,37360,18350,19010,5370,2650,2720,4190,2170,2030,1200,530,670
ANG MO KIO TOWN CENTRE,Ang Mo Kio,4810.0,2260.0,2550.0,4140,1950,2200,140,60,80,370,170,200,160,80,80
ANSON,Downtown Core,,,,-,-,-,-,-,-,-,-,-,-,-,-
BAHAR,Western Water Catchment,,,,-,-,-,-,-,-,-,-,-,-,-,-
BALESTIER,Novena,32430.0,15670.0,16760.0,26610,12820,13790,1600,780,820,3010,1540,1470,1210,520,690
BANGKIT,Bukit Panjang,22270.0,11010.0,11260.0,16630,8190,8440,3800,1900,1900,1420,740,680,410,170,240
BAYFRONT SUBZONE,Downtown Core,,,,-,-,-,-,-,-,-,-,-,-,-,-
BAYSHORE,Bedok,7450.0,3580.0,3870.0,5090,2370,2710,130,50,80,1590,790,800,650,370,290
BEDOK NORTH,Bedok,81840.0,39700.0,42140.0,57440,27640,29800,15580,7750,7820,6200,3180,3020,2620,1130,1500
BEDOK RESERVOIR,Bedok,25470.0,12480.0,12990.0,19150,9340,9810,3270,1610,1660,2220,1140,1080,830,390,440
BEDOK SOUTH,Bedok,46700.0,22540.0,24160.0,36480,17450,19030,4570,2250,2320,3410,1740,1660,2240,1100,1140
BENCOOLEN,Rochor,1310.0,620.0,690.0,970,450,520,40,20,20,250,120,130,50,20,30
BENDEMEER,Kallang,37570.0,18240.0,19330.0,31040,14910,16130,1380,690,700,4450,2340,2110,690,300,390
BENOI SECTOR,Pioneer,,,,-,-,-,-,-,-,-,-,-,-,-,-
BIDADARI,Toa Payoh,,,,-,-,-,-,-,-,-,-,-,-,-,-
BISHAN EAST,Bishan,28300.0,13420.0,14880.0,23910,11290,12620,1260,610,650,2360,1170,1190,780,360,420
BOAT QUAY,Singapore River,130.0,70.0,60.0,90,50,50,-,-,-,10,10,10,30,20,10
BOON KENG,Kallang,11790.0,5630.0,6160.0,9530,4540,4990,1090,540,550,890,430,460,280,120,160
BOON LAY PLACE,Jurong West,29330.0,15060.0,14270.0,19040,9760,9280,6840,3520,3320,2710,1470,1240,740,310,430
BOON TECK,Toa Payoh,14660.0,7210.0,7450.0,11280,5510,5770,2030,1020,1010,1020,540,480,340,150,200
BOULEVARD,Orchard,410.0,210.0,200.0,290,130,150,10,10,-,20,10,10,90,60,30
BRADDELL,Toa Payoh,9800.0,4590.0,5210.0,7650,3530,4120,1130,560,570,690,340,350,330,160,170
BRAS BASAH,Museum,,,,-,-,-,-,-,-,-,-,-,-,-,-
BRICKLAND,Tengah,,,,-,-,-,-,-,-,-,-,-,-,-,-
BRICKWORKS,Bukit Batok,19820.0,9800.0,10020.0,12620,6250,6360,5440,2730,2700,1380,690,690,380,120,260
BUGIS,Downtown Core,890.0,440.0,450.0,800,390,410,10,10,10,40,20,20,40,30,20
BUKIT BATOK CENTRAL,Bukit Batok,27290.0,13290.0,14000.0,20820,10100,10720,3520,1740,1780,2350,1180,1170,600,260,340
BUKIT BATOK EAST,Bukit Batok,12700.0,6290.0,6410.0,7850,3800,4050,2990,1510,1480,1590,860,730,270,110,150
BUKIT BATOK SOUTH,Bukit Batok,14930.0,7360.0,7570.0,11140,5450,5690,1780,880,910,1620,840,780,390,190,200
BUKIT BATOK WEST,Bukit Batok,15000.0,7300.0,7700.0,10450,5090,5360,2560,1240,1320,1680,850,830,310,120,190
BUKIT HO SWEE,Bukit Merah,14390.0,7050.0,7340.0,11570,5570,6000,1290,690,600,1160,620,540,380,180,200
BUKIT MERAH,Bukit Merah,1120.0,550.0,570.0,920,450,470,10,-,10,140,70,70,40,20,20
CAIRNHILL,Newton,3890.0,1830.0,2060.0,2910,1360,1550,30,10,20,360,160,200,580,300,290
CECIL,Downtown Core,260.0,130.0,130.0,190,90,100,-,-,-,10,10,10,50,30,20
CENTRAL SUBZONE,Downtown Core,880.0,410.0,470.0,650,300,350,10,-,-,60,30,30,160,80,90
CENTRAL WATER CATCHMENT,Central Water Catchment,,,,-,-,-,-,-,-,-,-,-,-,-,-
CHANGI AIRPORT,Changi,,,,-,-,-,-,-,-,-,-,-,-,-,-
CHANGI BAY,Changi Bay,,,,-,-,-,-,-,-,-,-,-,-,-,-
CHANGI POINT,Changi,540.0,300.0,240.0,250,140,110,180,90,90,60,40,20,50,30,20
CHANGI WEST,Changi,1310.0,660.0,650.0,560,270,290,440,230,210,260,140,120,40,10,20
CHATSWORTH,Tanglin,6880.0,3190.0,3690.0,4770,2160,2610,70,30,40,1020,500,520,1030,510,520
CHENG SAN,Ang Mo Kio,28080.0,13480.0,14600.0,23240,11120,12120,1940,960,980,2280,1150,1130,610,250,370
CHIN BEE,Jurong West,,,,-,-,-,-,-,-,-,-,-,-,-,-
CHINA SQUARE,Outram,1430.0,670.0,760.0,1390,650,740,-,-,-,20,10,10,20,10,10
CHINATOWN,Outram,10490.0,5040.0,5450.0,8780,4130,4650,570,310,260,790,410,380,350,190,170
CHOA CHU KANG CENTRAL,Choa Chu Kang,22520.0,11180.0,11340.0,17320,8570,8750,2870,1410,1460,1760,920,830,580,280,300
CHOA CHU KANG NORTH,Choa Chu Kang,31930.0,15860.0,16070.0,22490,11190,11300,5360,2650,2710,3160,1590,1580,910,440,480
CHONG BOON,Ang Mo Kio,26500.0,12860.0,13640.0,21860,10590,11270,1830,920,900,2240,1130,1110,580,220,360
CITY HALL,Downtown Core,,,,-,-,-,-,-,-,-,-,-,-,-,-
CITY TERMINALS,Bukit Merah,,,,-,-,-,-,-,-,-,-,-,-,-,-
CLARKE QUAY,Singapore River,120.0,70.0,50.0,80,40,40,-,-,-,10,10,-,40,20,10
CLEANTECH,Western Water Catchment,,,,-,-,-,-,-,-,-,-,-,-,-,-
CLEMENTI CENTRAL,Clementi,14000.0,6600.0,7400.0,11190,5250,5950,1420,690,730,940,470,480,440,200,250
CLEMENTI NORTH,Clementi,28810.0,13400.0,15410.0,23270,10740,12530,2760,1350,1420,1980,970,1020,790,340,450
CLEMENTI WEST,Clementi,15260.0,7310.0,7950.0,10940,5170,5770,2190,1100,1090,1700,850,850,440,200,240
CLEMENTI WOODS,Clementi,16000.0,7660.0,8340.0,12430,5880,6560,1630,820,810,1380,680,690,560,280,290
CLIFFORD PIER,Downtown Core,,,,-,-,-,-,-,-,-,-,-,-,-,-
COMMONWEALTH,Queenstown,7000.0,3230.0,3770.0,5250,2400,2850,1000,490,510,460,240,230,290,110,180
COMPASSVALE,Sengkang,20960.0,10170.0,10790.0,17830,8630,9200,1440,690,750,1290,670,620,400,180,220
CONEY ISLAND,Punggol,,,,-,-,-,-,-,-,-,-,-,-,-,-
CORONATION ROAD,Bukit Timah,6700.0,3050.0,3650.0,5880,2690,3190,30,10,20,280,130,150,510,220,290
CRAWFORD,Kallang,8380.0,4630.0,3750.0,5670,3120,2550,1600,890,710,900,550,350,220,80,140
DAIRY FARM,Bukit Panjang,6940.0,3350.0,3590.0,5990,2890,3100,110,50,60,430,200,230,400,200,200
DEFU INDUSTRIAL PARK,Hougang,,,,-,-,-,-,-,-,-,-,-,-,-,-
DEPOT ROAD,Bukit Merah,6540.0,3090.0,3450.0,5290,2480,2820,170,80,90,780,390,390,300,140,160
DHOBY GHAUT,Museum,320.0,160.0,160.0,260,130,130,-,-,-,20,10,-,40,20,20
DOVER,Queenstown,11080.0,5260.0,5820.0,9260,4340,4920,470,240,240,940,480,450,410,200,210
DUNEARN,Novena,3950.0,1800.0,2150.0,3230,1440,1790,20,10,20,320,160,160,390,200,190
EAST COAST,Marine Parade,,,,-,-,-,-,-,-,-,-,-,-,-,-
EVERTON PARK,Bukit Merah,7800.0,3680.0,4120.0,6240,2910,3330,420,220,190,810,390,420,340,160,180
FABER,Clementi,5360.0,2620.0,2740.0,4840,2370,2470,30,20,20,270,140,130,230,110,130
FAJAR,Bukit Panjang,27820.0,13870.0,13950.0,18950,9380,9570,5950,3070,2880,2270,1150,1120,650,270,370
FARRER COURT,Bukit Timah,6180.0,2900.0,3280.0,5430,2540,2890,90,40,50,270,130,140,390,190,200
FARRER PARK,Rochor,2660.0,1350.0,1310.0,1860,920,940,70,30,40,680,390,290,60,20,40
FERNVALE,Sengkang,58810.0,28860.0,29950.0,45220,22190,23030,8140,4070,4080,3970,2030,1940,1470,570,900
FLORA DRIVE,Pasir Ris,14670.0,7200.0,7470.0,11330,5490,5840,1350,650,700,1400,730,670,590,330,260
FOREST HILL,Tengah,,,,-,-,-,-,-,-,-,-,-,-,-,-
FORT CANNING,Museum,180.0,90.0,90.0,90,40,60,-,-,-,20,10,10,70,40,30
FRANKEL,Bedok,34490.0,16260.0,18230.0,28300,13180,15120,1040,460,590,2730,1390,1340,2420,1240,1180
GALI BATU,Sungei Kadut,,,,-,-,-,-,-,-,-,-,-,-,-,-
GARDEN,Tengah,,,,-,-,-,-,-,-,-,-,-,-,-,-
GEYLANG BAHRU,Kallang,11280.0,5620.0,5660.0,8480,4180,4300,1310,670,640,1310,710,600,180,60,120
GEYLANG EAST,Geylang,29920.0,14540.0,15380.0,22210,10720,11490,4100,2000,2100,2520,1290,1230,1100,530,570
GHIM MOH,Queenstown,13850.0,6470.0,7380.0,11170,5170,6010,1460,710,750,840,420,430,370,180,190
GOMBAK,Bukit Batok,9930.0,4840.0,5090.0,8430,4120,4310,560,260,300,670,340,330,260,130,140
GOODWOOD PARK,Newton,1260.0,600.0,660.0,1020,480,540,-,-,-,70,40,30,160,80,80
GREENWOOD PARK,Woodlands,,,,-,-,-,-,-,-,-,-,-,-,-,-
GUILIN,Bukit Batok,12940.0,6290.0,6650.0,8910,4290,4620,1960,960,1000,1600,810,780,470,220,240
GUL BASIN,Pioneer,,,,-,-,-,-,-,-,-,-,-,-,-,-
GUL CIRCLE,Pioneer,,,,-,-,-,-,-,-,-,-,-,-,-,-
HENDERSON HILL,Bukit Merah,13320.0,6490.0,6830.0,10240,4990,5250,1480,730,750,1240,620,610,370,150,220
HILLCREST,Bukit Timah,9470.0,4170.0,5300.0,7890,3460,4430,60,10,50,580,260,320,950,440,510
HILLVIEW,Bukit Batok,19290.0,9290.0,10000.0,16680,7960,8720,340,160,180,1210,600,610,1070,580,500
HOLLAND DRIVE,Queenstown,12680.0,5760.0,6920.0,10630,4770,5870,960,440,520,620,320,300,460,230,230
HOLLAND ROAD,Bukit Timah,10840.0,4800.0,6040.0,9350,4100,5250,60,20,40,510,240,270,920,440,490
HONG KAH,Jurong West,53880.0,26650.0,27230.0,36750,18080,18670,10240,5090,5160,5690,2970,2720,1200,510,690
HONG KAH NORTH,Bukit Batok,26150.0,13030.0,13120.0,16580,8260,8320,6100,3040,3060,2840,1470,1380,640,270,370
HOUGANG CENTRAL,Hougang,4720.0,2350.0,2370.0,4130,2070,2060,200,100,100,340,160,180,60,30,30
HOUGANG EAST,Hougang,24920.0,12110.0,12810.0,20400,9940,10460,2010,970,1040,2020,1010,1010,490,190,300
HOUGANG WEST,Hougang,45460.0,22410.0,23050.0,36270,17850,18420,4390,2200,2190,3930,2010,1920,870,350,520
INSTITUTION HILL,River Valley,3150.0,1500.0,1650.0,2210,1040,1170,20,10,20,490,240,250,430,210,210
INTERNATIONAL BUSINESS PARK,Jurong East,,,,-,-,-,-,-,-,-,-,-,-,-,-
ISTANA NEGARA,Newton,,,,-,-,-,-,-,-,-,-,-,-,-,-
JELEBU,Bukit Panjang,31310.0,15370.0,15940.0,24700,12100,12610,3770,1880,1880,2100,1060,1050,740,340,400
JOO KOON,Pioneer,,,,-,-,-,-,-,-,-,-,-,-,-,-
JOO SENG,Toa Payoh,8150.0,4030.0,4120.0,7110,3510,3610,250,130,120,590,300,290,210,100,110
JURONG GATEWAY,Jurong East,450.0,210.0,240.0,410,190,220,-,-,-,30,10,10,10,10,10
JURONG ISLAND AND BUKOM,Western Islands,,,,-,-,-,-,-,-,-,-,-,-,-,-
JURONG PORT,Jurong East,,,,-,-,-,-,-,-,-,-,-,-,-,-
JURONG RIVER,Jurong East,,,,-,-,-,-,-,-,-,-,-,-,-,-
JURONG WEST CENTRAL,Jurong West,63760.0,31810.0,31950.0,49000,24360,24640,7450,3750,3700,5290,2770,2520,2030,940,1090
KAKI BUKIT,Bedok,37150.0,18210.0,18940.0,24060,11710,12350,8710,4310,4410,3380,1750,1630,990,440,550
KALLANG BAHRU,Kallang,,,,-,-,-,-,-,-,-,-,-,-,-,-
KALLANG WAY,Geylang,,,,-,-,-,-,-,-,-,-,-,-,-,-
KAMPONG BUGIS,Kallang,920.0,460.0,460.0,760,380,380,40,20,30,100,60,40,20,10,10
KAMPONG GLAM,Rochor,120.0,80.0,40.0,40,20,20,10,10,10,60,40,20,10,10,-
